config,arm,run,cls,vf,flow,gbps,tcp_retrans
band47-96,sr,1,tcp,0,3,6.888,3133
band47-96,sr,1,rdma,1,0,0.046,
band47-96,sr,1,rdma,1,1,0.046,
band47-96,sr,1,rdma,1,2,0.046,
band47-96,sr,1,rdma,1,3,0.046,
band47-96,sr,1,tcp,1,0,6.661,2220
band47-96,sr,1,tcp,1,1,5.229,3284
band47-96,sr,1,tcp,1,2,4.498,2272
band47-96,sr,1,tcp,1,3,7.104,3556
band47-96,sr,1,rdma,2,0,0.046,
band47-96,sr,1,rdma,2,1,0.046,
band47-96,sr,1,rdma,2,2,0.046,
band47-96,sr,1,rdma,2,3,0.046,
band47-96,sr,1,tcp,2,0,5.42,4813
band47-96,sr,1,tcp,2,1,5.691,6023
band47-96,sr,1,tcp,2,2,6.156,3863
band47-96,sr,1,tcp,2,3,6.267,5605
band47-96,sr,1,rdma,3,0,0.046,
band47-96,sr,1,rdma,3,1,0.046,
band47-96,sr,1,rdma,3,2,0.046,
band47-96,sr,1,rdma,3,3,0.046,
band47-96,sr,1,tcp,3,0,5.849,1901
band47-96,sr,1,tcp,3,1,5.953,7102
band47-96,sr,1,tcp,3,2,3.656,2355
band47-96,sr,1,tcp,3,3,6.76,3590
band47-96,sr,2,rdma,0,0,0.054,
band47-96,sr,2,rdma,0,1,0.054,
band47-96,sr,2,rdma,0,2,0.054,
band47-96,sr,2,rdma,0,3,0.054,
band47-96,sr,2,tcp,0,0,6.338,5742
band47-96,sr,2,tcp,0,1,5.331,5364
band47-96,sr,2,tcp,0,2,5.81,3545
band47-96,sr,2,tcp,0,3,5.339,2970
band47-96,sr,2,rdma,1,0,0.053,
band47-96,sr,2,rdma,1,1,0.053,
band47-96,sr,2,rdma,1,2,0.053,
band47-96,sr,2,rdma,1,3,0.053,
band47-96,sr,2,tcp,1,0,5.794,3453
band47-96,sr,2,tcp,1,1,6.221,2779
band47-96,sr,2,tcp,1,2,6.273,5367
band47-96,sr,2,tcp,1,3,6.131,6363
band47-96,sr,2,rdma,2,0,0.053,
band47-96,sr,2,rdma,2,1,0.053,
band47-96,sr,2,rdma,2,2,0.053,
band47-96,sr,2,rdma,2,3,0.053,
band47-96,sr,2,tcp,2,0,5.998,8575
