ts_ns,gbps
1783088363603590191,0.976
1783088363608590993,0.966
1783088363613596507,0.965
1783088363618590471,0.978
1783088363623589638,0.966
1783088363628587481,0.967
1783088363633592355,0.976
1783088363638589123,0.969
1783088363643589980,0.968
1783088363648591960,0.966
1783088363653594565,0.966
1783088363658594922,0.977
1783088363663589583,0.967
1783088363668590658,0.966
1783088363673589473,0.977
1783088363678591258,0.968
1783088363683589309,0.967
1783088363688589834,0.966
1783088363693598592,0.975
1783088363698595571,0.967
1783088363703597917,0.967
1783088363708592907,0.967
1783088363713601473,0.975
1783088363718591248,0.968
1783088363723593290,0.966
1783088363728593292,0.977
1783088363733595241,0.966
1783088363738592639,0.967
1783088363743595434,0.976
1783088363748596797,0.966
1783088363753597406,0.966
1783088363758596761,0.966
1783088363763598017,0.976
1783088363768594337,0.967
1783088363773594007,0.966
1783088363778594069,0.977
1783088363783592637,0.966
1783088363788595309,0.966
1783088363793595880,0.977
1783088363798593004,0.967
1783088363803596476,0.967
1783088363808596254,0.966
1783088363813595339,0.977
1783088363818593022,0.968
1783088363823594380,0.966
1783088363828625830,0.971
1783088363833621796,0.967
1783088363838597723,0.971
1783088363843595981,0.967
1783088363848595387,0.977
1783088363853616749,0.962
1783088363858602863,0.969
1783088363863597033,0.967
1783088363868595731,0.977
1783088363873602438,0.965
1783088363878598208,0.967
1783088363883598122,0.977
1783088363888594908,0.967
1783088363893603368,0.965
1783088363898604581,0.976
1783088363903601134,0.967
1783088363908598625,0.967
1783088363913618619,0.973
1783088363918600793,0.970
1783088363923599239,0.967
1783088363928597257,0.968
1783088363933598092,0.966
1783088363938597299,0.977
1783088363943595738,0.967
1783088363948599173,0.966
1783088363953601137,0.976
1783088363958600354,0.966
1783088363963602810,0.966
1783088363968693429,0.969
1783088363973642016,0.966
1783088363978603195,0.974
1783088363983600637,0.977
1783088363988598043,0.967
1783088363993618100,0.962
1783088363998598408,0.970
1783088364003600137,0.976
1783088364008604931,0.965
1783088364013602022,0.967
1783088364018604171,0.976
1783088364023599370,0.969
1783088364028599480,0.966
1783088364033599786,0.966
1783088364038609132,0.975
1783088364043599722,0.968
1783088364048597084,0.967
1783088364053601369,0.967
1783088364058605029,0.976
1783088364063599658,0.967
1783088364068600445,0.966
1783088364073599075,0.977
1783088364078604459,0.965
1783088364083598165,0.967
1783088364088598929,0.966
1783088364093598682,0.977
1783088364098602986,0.965
1783088364103603128,0.968
1783088364108600410,0.977
1783088364113620884,0.962
1783088364118608119,0.969
1783088364123602201,0.967
1783088364128602350,0.977
1783088364133602738,0.966
1783088364138607675,0.965
1783088364143602863,0.978
1783088364148604615,0.966
1783088364153622611,0.973
1783088364158605564,0.970
1783088364163602802,0.967
1783088364168601160,0.967
1783088364173629153,0.971
1783088364178609608,0.970
1783088364183613350,0.966
1783088364188602997,0.968
1783088364193616590,0.974
1783088364198607264,0.968
1783088364203605053,0.967
1783088364208603793,0.977
1783088364213626198,0.962
1783088364218604927,0.970
1783088364223609015,0.976
1783088364228605622,0.967
1783088364233619591,0.964
1783088364238849063,0.974
1783088364243610431,0.971
1783088364248603806,0.968
1783088364253618142,0.974
1783088364258607651,0.968
1783088364263606749,0.968
1783088364268602742,0.967
1783088364273618494,0.974
1783088364278607843,0.968
1783088364283605336,0.967
1783088364288604021,0.966
1783088364293618225,0.974
1783088364298608511,0.968
1783088364303607665,0.966
1783088364308604728,0.969
1783088364313613781,0.975
1783088364318623619,0.964
1783088364323611722,0.969
1783088364328607768,0.967
1783088364333614232,0.975
1783088364338614048,0.966
1783088364343604490,0.968
